2020-03-21 12:59:26 status half-installed mount:amd64 2.33.1-0.1
2020-03-21 12:59:26 status unpacked mount:amd64 2.33.1-0.1
2020-03-21 12:59:26 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 install sed:amd64 <none> 4.7-1
2020-03-21 12:59:26 status half-installed sed:amd64 4.7-1
2020-03-21 12:59:26 status unpacked sed:amd64 4.7-1
2020-03-21 12:59:26 install sysvinit-utils:amd64 <none> 2.93-8
2020-03-21 12:59:26 status half-installed sysvinit-utils:amd64 2.93-8
2020-03-21 12:59:26 status unpacked sysvinit-utils:amd64 2.93-8
2020-03-21 12:59:26 install tzdata:all <none> 2019c-0+deb10u1
2020-03-21 12:59:26 status half-installed tzdata:all 2019c-0+deb10u1
2020-03-21 12:59:26 status unpacked tzdata:all 2019c-0+deb10u1
2020-03-21 12:59:26 startup packages configure
2020-03-21 12:59:26 configure debian-archive-keyring:all 2019.1 <none>
2020-03-21 12:59:26 status unpacked debian-archive-keyring:all 2019.1
2020-03-21 12:59:26 status half-configured debian-archive-keyring:all 2019.1
2020-03-21 12:59:26 status installed debian-archive-keyring:all 2019.1
2020-03-21 12:59:26 configure libaudit-common:all 1:2.8.4-3 <none>
2020-03-21 12:59:26 status unpacked libaudit-common:all 1:2.8.4-3
2020-03-21 12:59:26 status half-configured libaudit-common:all 1:2.8.4-3
2020-03-21 12:59:26 status installed libaudit-common:all 1:2.8.4-3
2020-03-21 12:59:26 configure libsemanage-common:all 2.8-2 <none>
2020-03-21 12:59:26 status unpacked libsemanage-common:all 2.8-2
2020-03-21 12:59:26 status half-configured libsemanage-common:all 2.8-2
2020-03-21 12:59:26 status installed libsemanage-common:all 2.8-2
2020-03-21 12:59:26 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2020-03-21 12:59:26 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2020-03-21 12:59:26 configure gcc-8-base:amd64 8.3.0-6 <none>
2020-03-21 12:59:26 status unpacked gcc-8-base:amd64 8.3.0-6
2020-03-21 12:59:26 status half-configured gcc-8-base:amd64 8.3.0-6
2020-03-21 12:59:26 status installed gcc-8-base:amd64 8.3.0-6
2020-03-21 12:59:26 configure libc6:amd64 2.28-10 <none>
2020-03-21 12:59:26 status unpacked libc6:amd64 2.28-10
2020-03-21 12:59:26 status half-configured libc6:amd64 2.28-10
2020-03-21 12:59:26 status installed libc6:amd64 2.28-10
2020-03-21 12:59:26 configure libudev1:amd64 241-7~deb10u3 <none>
2020-03-21 12:59:26 status unpacked libudev1:amd64 241-7~deb10u3
2020-03-21 12:59:26 status half-configured libudev1:amd64 241-7~deb10u3
2020-03-21 12:59:26 status installed libudev1:amd64 241-7~deb10u3
2020-03-21 12:59:26 configure libsepol1:amd64 2.8-1 <none>
2020-03-21 12:59:26 status unpacked libsepol1:amd64 2.8-1
2020-03-21 12:59:26 status half-configured libsepol1:amd64 2.8-1
2020-03-21 12:59:26 status installed libsepol1:amd64 2.8-1
2020-03-21 12:59:26 configure libattr1:amd64 1:2.4.48-4 <none>
2020-03-21 12:59:26 status unpacked libattr1:amd64 1:2.4.48-4
2020-03-21 12:59:26 status half-configured libattr1:amd64 1:2.4.48-4
2020-03-21 12:59:26 status installed libattr1:amd64 1:2.4.48-4
2020-03-21 12:59:26 configure libtasn1-6:amd64 4.13-3 <none>
2020-03-21 12:59:26 status unpacked libtasn1-6:amd64 4.13-3
2020-03-21 12:59:26 status half-configured libtasn1-6:amd64 4.13-3
2020-03-21 12:59:26 status installed libtasn1-6:amd64 4.13-3
2020-03-21 12:59:26 configure debianutils:amd64 4.8.6.1 <none>
2020-03-21 12:59:26 status unpacked debianutils:amd64 4.8.6.1
2020-03-21 12:59:26 status half-configured debianutils:amd64 4.8.6.1
2020-03-21 12:59:26 status installed debianutils:amd64 4.8.6.1
2020-03-21 12:59:26 configure mawk:amd64 1.3.3-17+b3 <none>
2020-03-21 12:59:26 status unpacked mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:26 status half-configured mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:26 status installed mawk:amd64 1.3.3-17+b3
2020-03-21 12:59:26 configure libdebconfclient0:amd64 0.249 <none>
2020-03-21 12:59:26 status unpacked libdebconfclient0:amd64 0.249
2020-03-21 12:59:26 status half-configured libdebconfclient0:amd64 0.249
2020-03-21 12:59:26 status installed libdebconfclient0:amd64 0.249
2020-03-21 12:59:26 configure base-files:amd64 10.3+deb10u3 <none>
2020-03-21 12:59:26 status unpacked base-files:amd64 10.3+deb10u3
2020-03-21 12:59:26 status half-configured base-files:amd64 10.3+deb10u3
2020-03-21 12:59:26 status installed base-files:amd64 10.3+deb10u3
2020-03-21 12:59:26 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2020-03-21 12:59:26 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-03-21 12:59:26 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-03-21 12:59:26 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2020-03-21 12:59:26 configure base-passwd:amd64 3.5.46 <none>
2020-03-21 12:59:26 status unpacked base-passwd:amd64 3.5.46
2020-03-21 12:59:26 status half-configured base-passwd:amd64 3.5.46
2020-03-21 12:59:27 status installed base-passwd:amd64 3.5.46
2020-03-21 12:59:27 configure libdb5.3:amd64 5.3.28+dfsg1-0.5 <none>
2020-03-21 12:59:27 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
